Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A788145,"FARO AUSTIN 78741
(30.227985, -97.716971)",TRUE,4/10/2019,Dog,Black/Tan Hound Mix,Black/Tan,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A788145
A792311,"AUSTIN 78757
(30.349869, -97.732706)",FALSE,4/9/2019,Cat,Domestic Shorthair Mix,Black/White,Unknown,2 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A792311
A792312,"812 AND
ELROY 78617",TRUE,4/9/2019,Dog,Cocker Spaniel Mix,Black/Brown,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792312
A792313,"812 AND
ELROY 78617",TRUE,4/9/2019,Dog,Cairn Terrier Mix,Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792313
A792314,"812 AND
ELROY 78617",TRUE,4/9/2019,Dog,Chihuahua Shorthair/Cairn Terrier,Tan/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792314
A792315,"812 AND
ELROY 78617",TRUE,4/9/2019,Dog,Cairn Terrier,Brown,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792315
A792331,14315 OLD MANOR MANOR78653,FALSE,4/9/2019,Cat,Domestic Shorthair Mix,Blue,Intact Female,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A792331
A792332,14315 OLD MANOR MANOR78653,FALSE,4/9/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A792332
A792333,14315 OLD MANOR MANOR78653,FALSE,4/9/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A792333
A792334,"8501 SHENADOAH DRIVE
AUSTIN 78753
(30.347173, -97.691154)",FALSE,4/9/2019,Dog,Carolina Dog Mix,Tan/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792334
A792349,"7412 TECOMA CIRCLE
AUSTIN 78735",FALSE,4/9/2019,Cat,Domestic Shorthair Mix,Black/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792349
A792350,"TURTLE CREEK AUSTIN 78745
(30.206782, -97.798214)",FALSE,4/9/2019,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792350
